Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Thực tế]
428.85,35.1,37.0
428.84,44.39,47.5
428.75,39.75,42.9
428.74,38.95,39.3
428.69,50.91,51.3
428.67,50.55,51.3
428.75,18.27,9.0
428.86,18.72,27.9
428.71,23.43,21.8
428.73,14.6,12.1
428.73,15.69,17.4
428.77,14.01,11.8
428.81,12.26,12.2
428.77,12.51,19.1
428.7,23.97,25.5
428.54,23.19,29.0
428.4,21.92,24.4
428.66,41.3,24.8
428.68,36.16,50.0
428.44,25.96,26.3
428.83,47.91,43.8
428.41,26.43,41.0
428.29,22.32,21.4
428.26,23.97,20.1
428.22,18.82,20.1
428.2,23.57,20.1
428.58,48.53,42.5
428.74,41.22,34.5
428.8,37.6,38.3
428.6,37.73,45.2
428.57,33.9,34.6
428.45,37.68,42.6
428.32,35.99,43.1
428.26,43.48,37.1
428.49,33.9,33.0
428.38,29.26,36.3
428.17,25.12,29.8
428.08,21.3,23.1
428.06,24.32,27.0
428.03,21.93,22.4
428.08,18.92,16.9
428.48,32.92,9.7
428.74,29.08,38.8
428.78,69.09,49.6
429.36,413.67,406.7
429.07,181.07,191.8
428.86,71.83,74.4
428.72,44.93,42.0
428.89,33.77,35.6
428.84,27.81,30.4
428.67,43.53,47.1
428.7,50.74,48.6
428.75,49.86,49.5
428.68,45.55,49.5
428.73,56.32,49.5
428.84,49.14,49.5
428.78,46.63,49.5
428.7,47.35,49.5
428.65,47.71,49.5
428.7,51.2,48.0
428.59,41.97,49.5
428.63,59.92,49.5
428.8,48.42,49.5
428.73,46.99,49.5
428.76,49.84,49.5
428.64,47.0,49.5
428.68,51.29,49.5
428.7,49.14,49.5
428.67,48.78,49.5
428.69,50.58,49.5
428.67,44.46,49.5
428.54,49.13,49.5
428.92,149.55,124.2
429.0,293.35,306.3
428.84,91.48,96.2
428.87,54.52,49.5
428.78,43.26,49.0
428.82,72.02,60.8
429.05,204.09,202.2
429.06,303.77,298.0
429.03,341.91,343.8
429.0,162.58,162.6
429.0,98.0,98.0
429.0,97.95,98.0
429.08,191.75,191.8
428.98,288.23,289.7
428.99,249.44,248.0
429.05,346.57,329.3
429.64,1527.55,1539.7
428.99,713.92,718.1
428.99,264.67,264.7
428.99,248.0,248.0
429.0,248.36,248.0
429.0,248.0,248.0
429.0,176.33,176.3
429.0,175.92,175.9
429.0,176.33,176.3
429.0,129.25,129.3
429.0,86.0,86.0
429.0,116.75,117.2
429.0,98.0,98.0
429.0,92.58,92.6
429.0,98.83,98.8
429.0,98.42,98.4
429.0,85.08,85.1
429.0,69.9,69.9
429.0,58.0,58.0
428.97,55.21,55.6
429.0,55.17,55.2
429.0,54.33,54.3
428.98,53.62,54.3
428.98,53.97,54.3
428.96,50.18,53.8
428.87,42.51,44.7
428.78,43.24,47.6
428.68,41.01,43.1
428.62,42.66,43.7
428.64,32.58,28.3
428.75,29.84,27.3
428.77,41.66,44.2
428.73,43.37,44.1
428.7,41.13,42.9
428.59,39.31,43.3
428.5,35.69,37.8
428.51,38.23,37.5
428.59,34.87,27.3
428.74,34.53,35.6
428.66,26.97,27.3
428.59,23.03,27.3
428.55,28.77,27.3
428.4,17.65,27.3
428.34,30.24,25.2
428.51,34.35,31.1
428.6,34.01,30.4
428.61,37.18,39.7
428.57,25.18,27.3
428.4,20.87,27.3
428.25,23.39,27.3
428.11,23.39,27.3
428.13,26.62,27.3
428.06,28.41,27.3
428.16,30.92,27.3
428.26,31.22,28.7
428.33,31.83,28.2
428.43,30.92,27.3
428.53,30.92,27.3
428.57,24.1,27.3
428.46,27.69,27.3
428.55,30.92,27.3
428.65,30.56,27.3
428.71,28.77,27.3
428.69,26.26,27.3
428.63,23.75,27.3
428.49,20.87,27.3
428.29,21.02,27.8
428.15,23.52,28.2
428.16,20.34,16.0
428.51,20.96,20.6
428.23,16.72,17.1
428.19,9.17,10.2
428.2,6.69,6.3
428.16,7.51,8.2
428.13,10.94,9.4
428.13,19.75,20.5
428.16,20.74,19.3
428.2,21.2,20.1
428.3,14.23,6.3
428.44,7.05,6.3
428.42,9.56,6.3
428.53,11.0,6.3
428.72,9.56,6.3
428.73,4.9,6.3
428.6,14.75,18.3
428.64,16.65,10.6
428.74,9.56,6.3
428.67,14.33,25.5
428.56,25.99,26.0
428.57,27.13,27.5
428.57,27.16,26.5
428.72,25.67,17.4
428.89,22.08,17.8
428.91,4.81,5.2
428.79,12.95,18.7
428.8,20.53,17.3
428.82,21.3,23.1
428.82,20.49,19.9
428.5,22.87,32.9
428.33,26.17,24.4
428.56,16.65,5.2
428.61,18.52,29.3
428.4,23.19,27.5
428.31,11.86,10.4
428.35,14.71,15.1
428.39,11.0,6.3
428.51,10.28,6.3
428.6,6.69,6.3
