Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Thực tế]
428.22,1.34,4.0
428.09,2.64,7.5
428.0,4.34,5.0
427.9,1.78,4.0
427.76,5.16,7.8
427.64,3.54,7.0
427.48,8.11,8.9
427.43,1.38,4.0
427.3,1.28,4.0
427.2,3.77,5.8
427.07,6.85,9.7
426.96,4.31,7.2
426.76,6.21,11.2
426.66,5.04,5.2
426.62,1.8,5.2
426.48,1.47,5.2
426.35,5.12,5.2
426.49,9.88,5.2
426.65,9.91,5.2
426.92,17.85,5.2
427.48,27.95,11.0
427.68,2.11,6.4
427.43,3.75,12.5
427.3,15.18,10.0
427.71,26.63,14.1
427.8,10.59,14.7
427.66,14.71,16.2
427.67,11.95,13.2
427.66,4.15,5.2
427.51,8.61,12.2
427.44,11.29,11.0
427.51,18.68,11.1
427.83,15.28,10.2
427.76,11.15,14.4
427.73,15.52,14.6
427.77,4.41,4.0
427.66,5.04,7.2
427.57,9.65,10.1
427.51,10.22,12.0
427.42,12.8,16.5
427.5,19.3,10.6
427.78,16.42,10.5
427.89,4.02,4.0
427.71,6.43,13.8
427.7,1.74,4.0
427.61,2.35,4.0
427.53,1.59,4.0
427.42,1.22,4.0
427.31,1.06,4.0
427.22,1.15,4.0
427.19,9.83,4.0
427.56,15.82,4.0
427.88,9.79,4.0
427.92,6.27,4.0
428.11,12.87,4.0
428.29,13.92,4.0
428.39,1.25,4.0
428.3,1.28,4.0
428.27,16.06,8.2
428.59,19.02,13.9
428.55,3.63,7.1
428.45,2.56,8.6
428.31,1.28,4.0
428.22,1.22,4.0
428.1,4.03,8.5
427.95,2.82,8.6
427.79,1.45,8.2
427.62,3.96,6.7
427.56,6.39,4.9
,,
427.76,1.13,4.0
427.65,2.98,4.0
427.8,4.2,4.0
427.56,1.12,11.2
427.47,11.63,7.9
427.55,2.89,5.2
427.5,4.78,5.2
427.54,5.47,5.2
427.44,4.0,12.6
427.21,2.28,9.1
427.18,3.69,5.2
427.21,7.79,5.2
427.52,19.52,5.2
427.86,6.75,5.2
427.82,2.72,5.2
427.77,3.83,5.2
427.71,2.96,5.2
427.72,9.37,5.2
427.92,8.63,5.2
427.93,5.5,7.0
427.92,6.43,7.1
427.83,1.21,6.7
427.72,1.05,5.2
427.6,1.03,5.2
427.55,9.52,5.2
427.78,7.26,5.2
427.76,4.24,5.2
427.68,1.53,5.2
427.6,1.1,5.2
427.53,3.08,5.2
427.55,6.17,5.2
427.79,15.7,5.2
428.05,16.52,5.2
428.32,7.43,7.4
428.23,7.96,10.5
428.19,1.35,4.0
428.17,4.33,5.4
428.11,1.13,4.0
428.04,1.21,4.0
427.96,1.11,4.0
427.89,1.07,4.0
427.8,1.1,4.0
427.69,1.0,4.0
427.58,0.85,4.0
427.55,6.11,2.0
427.6,0.88,2.0
427.6,5.24,2.0
427.75,13.58,3.0
428.04,8.04,4.0
428.05,2.4,2.0
428.0,2.84,2.0
428.03,10.02,2.0
428.15,1.93,2.0
428.07,3.36,4.6
428.2,18.49,5.9
428.34,1.62,4.0
428.24,1.08,4.0
428.14,1.14,4.0
428.04,1.1,4.0
427.97,3.87,2.0
428.04,10.83,2.0
428.35,10.24,3.0
428.36,1.31,2.0
428.28,1.28,2.0
428.14,4.74,8.6
428.07,1.33,3.2
427.97,1.05,2.3
427.87,1.42,4.0
427.79,5.08,4.0
427.8,5.86,4.0
427.77,2.09,5.4
427.67,5.3,6.4
427.75,6.25,4.0
427.82,6.49,2.7
427.89,4.37,4.3
427.84,3.54,3.7
427.92,8.4,3.7
428.16,10.54,1.9
428.25,1.39,1.8
428.19,1.03,1.1
428.12,0.84,1.1
428.02,0.83,4.2
427.92,1.05,4.0
427.83,0.93,4.0
427.71,1.25,4.0
427.56,3.42,6.5
427.42,1.71,5.6
427.34,13.28,4.0
427.68,8.37,2.6
427.79,5.6,1.6
427.88,2.84,1.6
427.83,1.05,1.1
427.8,1.58,1.2
427.79,1.17,1.2
427.73,0.84,1.4
427.6,11.84,12.2
427.84,14.93,6.1
428.04,4.3,5.8
427.92,1.71,4.0
427.8,1.89,4.0
427.68,1.76,4.0
427.6,1.58,4.0
427.49,1.24,4.0
427.37,1.05,4.0
427.31,9.59,4.0
427.52,3.61,4.0
427.39,4.58,8.2
427.41,9.09,7.2
427.47,7.33,6.6
427.52,4.29,4.0
427.42,1.97,4.0
427.33,5.03,4.0
427.41,4.31,3.4
427.2,6.83,20.0
427.07,21.74,14.4
427.38,20.76,12.1
427.59,22.51,19.8
427.63,19.57,18.4
427.69,18.62,17.3
427.77,4.16,1.5
427.65,12.81,16.4
427.65,16.01,15.6
427.67,20.19,18.8
427.81,7.53,5.5
427.57,5.4,18.5
427.29,1.25,2.8
427.19,13.33,10.5
427.32,2.85,4.0
427.27,3.73,4.0
427.19,3.04,4.0
427.12,3.71,4.0
427.17,11.93,4.0
427.41,3.89,4.0
427.33,1.2,4.0
427.23,18.61,19.6
427.41,34.68,27.1
427.67,25.84,21.3
427.81,27.48,23.0
427.82,23.1,24.0
427.62,10.69,26.8
427.3,3.65,4.2
427.18,16.84,20.2
427.34,28.94,21.2
427.45,30.22,28.0
427.59,33.68,27.7
427.78,16.51,17.7
427.77,15.02,15.6
427.66,4.47,12.0
427.35,3.15,12.4
427.2,3.79,4.9
427.13,12.46,11.4
427.27,12.27,12.0
427.2,7.43,11.0
427.11,13.7,7.1
427.3,5.37,5.3
427.19,15.33,13.6
427.26,6.53,12.8
427.2,15.43,8.1
427.43,10.1,8.2
427.55,16.71,11.9
427.72,7.61,4.9
427.66,2.02,4.6
427.51,14.57,19.6
427.65,8.88,4.0
427.63,9.26,14.1
427.39,15.54,19.0
427.36,18.2,21.3
427.36,20.9,22.0
427.26,9.28,18.0
427.05,10.27,12.9
427.18,31.09,26.9
427.35,34.37,28.0
428.35,92.16,43.1
428.79,38.25,49.6
428.25,21.35,41.8
428.15,44.34,38.2
428.08,39.0,46.0
427.97,35.22,39.9
428.02,37.24,35.2
427.87,21.55,34.6
427.32,14.57,25.8
427.15,11.12,19.6
427.04,7.28,14.8
427.04,13.04,7.9
427.27,25.85,19.9
427.07,21.11,26.4
428.4,109.72,49.3
428.66,40.16,61.7
427.92,22.88,37.9
427.81,44.01,37.5
428.16,47.71,39.5
428.13,45.05,46.0
428.14,45.66,44.4
428.14,45.49,44.6
428.15,43.61,42.1
428.19,41.63,40.6
427.99,16.98,30.5
428.06,69.14,43.3
428.63,51.96,43.2
428.73,51.77,51.2
428.73,50.53,51.0
428.59,46.9,51.9
428.58,42.62,44.5
428.57,44.83,43.1
428.55,47.37,47.9
428.53,48.06,47.8
428.44,30.88,33.3
428.05,21.42,29.3
427.77,23.15,27.4
427.6,17.58,18.2
427.67,5.35,4.0
427.55,18.13,17.4
427.52,19.72,20.4
427.56,25.72,20.0
427.95,25.84,4.0
428.74,36.52,13.5
428.64,31.54,49.2
428.19,25.03,44.0
427.71,19.61,29.5
427.57,9.04,4.9
427.65,8.09,12.1
427.73,8.77,4.0
427.79,8.96,5.2
427.86,7.72,4.0
427.9,5.2,4.0
427.86,3.95,4.0
427.82,4.06,5.0
427.81,3.93,4.0
427.74,2.57,4.0
427.69,3.26,4.0
427.66,2.99,4.0
427.63,2.93,4.0
427.62,3.37,4.0
427.59,3.1,6.0
427.51,3.17,6.4
427.45,2.75,4.2
427.47,3.6,4.0
427.45,2.76,4.0
427.42,2.61,4.0
427.4,2.43,4.0
427.38,2.4,4.0
427.3,2.21,4.0
427.2,2.02,4.0
427.13,2.12,4.0
427.11,5.72,4.0
427.22,4.4,4.0
427.19,2.47,4.0
427.18,7.98,4.0
427.24,4.9,9.7
427.24,3.08,3.2
427.22,2.42,3.2
427.18,2.35,3.2
427.13,2.4,3.2
427.08,2.45,3.2
427.12,16.37,3.2
427.54,10.77,3.2
427.52,2.4,3.2
427.45,2.22,3.2
427.39,2.28,3.2
427.34,2.34,3.2
427.3,2.2,3.2
427.26,2.09,3.2
427.19,1.69,3.2
427.19,16.92,3.2
427.74,24.63,3.2
427.88,2.1,3.2
427.82,2.11,3.2
427.75,2.13,3.2
427.69,2.12,3.2
427.63,2.12,3.2
427.56,2.05,3.2
427.48,1.93,3.2
427.38,1.92,3.2
427.29,1.93,3.2
427.21,1.86,3.2
427.14,1.9,3.2
427.08,1.86,3.2
427.07,13.3,3.2
427.6,42.88,3.2
427.93,11.11,9.7
427.85,2.28,5.2
427.81,2.34,5.2
427.74,2.32,5.2
427.62,1.82,5.2
427.56,13.56,7.2
427.97,37.02,7.1
428.2,3.72,5.2
428.15,2.88,5.2
428.09,2.61,4.8
427.98,2.3,5.5
427.84,2.29,5.6
427.71,2.55,5.4
427.6,2.24,3.2
427.53,2.21,3.2
427.45,2.35,3.2
427.37,2.17,3.2
427.28,1.94,3.2
427.18,1.93,3.2
427.16,15.59,3.2
427.7,32.42,5.5
428.09,9.55,5.0
428.0,3.06,4.8
427.9,2.08,3.2
427.83,1.98,3.2
427.75,1.8,3.2
427.67,2.07,3.2
427.6,2.2,3.2
427.51,2.12,3.2
427.35,2.17,9.7
427.34,13.41,4.7
427.9,27.02,5.0
428.3,9.27,5.4
428.22,2.1,3.2
428.14,1.95,3.2
428.05,1.78,3.2
427.97,1.71,3.2
427.88,1.51,3.2
427.8,1.68,3.2
427.72,1.76,3.2
427.67,9.42,5.4
428.12,29.31,5.4
428.37,3.4,5.0
428.25,1.6,3.2
428.18,1.93,3.2
428.12,1.65,3.2
428.05,1.52,3.2
427.94,1.43,3.2
427.85,1.38,3.2
427.77,1.38,3.2
427.68,1.67,5.2
427.53,1.53,5.4
427.45,16.04,5.5
427.94,33.18,3.2
428.27,3.25,3.2
428.17,1.27,3.2
428.08,1.31,3.2
428.0,1.45,3.2
427.93,1.32,3.2
427.84,1.24,3.2
427.7,1.81,11.7
427.57,6.66,5.3
427.9,33.07,5.4
428.17,5.73,3.2
428.1,2.04,3.2
427.03,1.72,3.2
427.94,1.41,3.2
427.85,1.28,3.2
427.75,1.3,3.2
427.66,1.41,3.2
427.57,1.42,5.6
427.43,1.43,5.3
427.38,12.39,4.9
427.94,29.5,3.2
428.21,2.79,3.2
428.12,1.66,3.2
428.03,1.72,3.2
427.96,1.52,3.2
427.88,1.4,3.2
427.79,1.24,3.2
427.69,1.33,3.2
427.59,1.37,3.2
427.5,1.64,3.2
427.41,1.49,3.2
427.31,1.35,3.2
427.21,1.28,3.2
427.13,11.47,3.2
427.65,33.31,3.2
428.06,7.54,3.2
428.0,1.56,3.2
427.84,1.57,9.7
427.71,1.8,5.2
427.66,1.78,5.2
427.57,1.52,5.2
427.47,1.52,5.2
427.39,9.21,5.2
427.59,16.93,5.2
427.76,5.5,5.2
427.68,1.55,7.5
427.53,1.65,5.3
427.42,1.38,6.5
427.26,1.72,4.0
427.18,7.43,5.3
427.33,17.21,3.2
427.63,17.45,3.2
427.84,6.56,4.7
427.79,1.54,3.2
427.71,2.11,3.2
427.65,1.91,3.2
427.58,2.21,3.2
427.56,9.2,11.1
427.61,20.44,17.1
427.62,4.78,3.2
427.7,4.68,3.7
427.65,1.84,3.2
427.58,1.95,3.2
427.48,1.6,3.2
427.41,7.43,3.2
427.91,34.98,3.2
428.25,2.5,3.2
428.12,2.17,3.2
428.04,2.0,9.7
427.97,1.86,3.2
427.96,6.61,6.8
427.85,2.67,6.5
427.78,12.16,8.0
427.77,2.12,3.2
427.69,1.72,3.8
427.6,2.02,8.0
427.56,13.79,6.9
427.52,3.53,3.2
427.54,10.03,3.2
428.07,27.34,3.2
428.31,4.74,3.2
428.33,2.06,3.2
428.27,1.86,3.2
428.2,1.83,4.0
428.13,2.62,4.0
428.06,2.81,4.0
427.98,2.6,4.0
427.88,2.42,4.0
427.87,7.55,4.0
428.07,7.63,4.0
428.0,16.6,16.4
427.99,17.14,16.7
428.08,16.7,16.6
428.02,9.43,13.2
427.82,10.62,4.0
428.13,7.54,4.0
428.07,16.64,17.9
428.09,22.08,20.7
427.94,19.62,27.5
427.91,20.09,21.1
427.9,18.63,20.9
427.87,3.54,4.2
427.82,2.69,4.0
427.81,18.84,17.5
427.87,12.33,18.6
427.8,23.11,22.2
427.74,23.23,28.0
427.68,26.37,28.0
427.95,36.23,23.0
428.16,8.33,4.8
428.06,16.61,20.6
427.95,4.6,16.9
427.67,4.66,17.4
427.44,3.11,4.0
427.35,2.41,4.0
427.23,2.09,4.0
427.14,2.12,4.9
427.1,17.31,11.8
427.35,26.74,4.0
427.46,27.1,23.6
427.71,27.03,21.4
427.86,22.43,19.0
427.78,5.24,15.7
427.56,2.38,4.0
427.42,16.98,18.2
427.67,24.68,19.4
427.99,30.44,21.1
428.15,25.33,28.0
428.11,34.5,40.5
427.89,38.53,50.4
427.79,13.6,22.5
427.43,16.39,17.8
427.55,21.48,16.6
427.63,30.1,22.7
428.04,35.84,28.8
428.2,36.15,34.0
427.98,36.65,45.2
427.85,13.29,14.9
427.65,15.04,18.8
427.76,31.88,24.2
427.86,31.0,28.4
427.99,31.04,29.9
428.03,11.68,18.8
427.73,6.64,11.8
427.68,4.09,4.0
427.56,16.01,20.4
427.75,33.88,24.1
427.94,34.47,30.0
428.06,33.28,32.1
428.17,38.96,33.1
428.2,16.35,24.8
427.93,4.16,8.8
427.77,15.97,17.6
427.76,18.77,23.2
427.82,25.96,23.4
427.86,21.05,21.2
427.89,7.36,4.2
427.85,3.2,4.0
427.78,2.28,4.0
427.76,8.79,4.0
427.95,12.23,4.0
427.99,3.75,4.6
427.91,11.23,16.0
428.12,28.99,20.2
428.11,25.81,36.1
427.98,14.39,16.7
427.81,14.19,18.2
427.92,36.05,31.9
428.01,39.26,33.6
428.04,16.45,18.8
427.84,6.45,17.2
427.66,25.66,19.8
428.47,29.74,4.0
428.29,24.64,45.5
428.21,38.12,36.3
428.16,36.95,39.8
427.98,38.18,45.0
427.71,36.69,44.5
427.54,19.46,28.7
427.43,13.68,12.6
427.3,16.72,15.9
427.52,23.34,20.7
427.8,35.84,27.4
427.78,35.73,35.4
427.88,35.7,33.8
427.93,22.04,20.2
427.84,5.87,11.8
427.61,16.99,20.5
427.91,34.8,23.5
427.98,34.06,28.0
428.3,35.05,28.1
428.29,38.43,42.1
428.11,38.34,45.6
427.97,14.53,18.5
427.91,32.48,28.6
428.02,42.33,44.6
428.51,78.57,45.3
428.99,52.41,52.0
428.84,44.95,52.0
428.96,54.76,48.3
428.98,70.34,65.8
428.94,59.98,68.2
428.59,46.91,52.0
428.52,42.57,52.0
428.45,51.53,46.1
428.66,56.4,36.0
428.92,87.28,75.7
428.99,72.87,73.0
428.9,52.13,57.3
428.9,54.66,52.0
428.9,54.22,52.0
428.91,52.56,51.0
428.94,53.52,51.0
428.98,51.45,49.8
428.98,51.43,50.6
428.98,52.13,51.8
428.9,43.2,52.0
428.86,84.38,73.0
428.98,84.87,82.2
428.97,51.1,51.9
428.97,52.97,51.6
428.98,54.54,55.7
428.98,51.61,49.9
428.98,50.79,50.3
428.88,46.94,51.6
428.74,46.37,50.1
428.92,110.04,95.8
428.98,153.85,148.0
428.98,149.33,142.2
428.84,200.69,233.4
428.68,355.88,348.0
428.91,470.16,448.4
428.96,531.56,527.7
428.96,295.44,274.4
428.95,148.82,147.7
428.96,94.06,80.8
428.99,53.82,52.0
428.99,53.44,51.9
428.99,53.24,52.0
428.99,52.84,52.0
428.99,52.54,52.0
428.99,52.54,52.0
428.99,52.6,52.0
428.99,52.38,51.9
428.99,52.46,52.0
428.99,52.38,52.0
428.99,52.01,51.4
428.99,52.45,52.0
428.99,52.22,52.0
428.99,52.5,52.0
428.98,186.81,193.1
428.98,273.44,268.6
428.98,228.7,227.4
428.97,136.56,128.4
428.99,54.32,51.4
428.99,52.51,52.0
428.95,52.48,52.0
428.99,52.41,52.0
428.99,52.44,52.0
428.99,49.02,52.0
428.77,37.64,52.0
428.88,30.26,28.0
428.83,31.29,27.8
428.87,29.24,26.1
428.87,29.01,28.0
428.87,29.69,28.0
428.84,27.63,26.7
428.79,18.64,9.1
428.9,20.92,4.0
428.93,21.58,4.0
428.95,28.08,10.2
428.94,28.64,27.0
428.9,29.09,27.9
428.91,28.7,26.0
428.9,34.92,39.9
428.9,34.41,34.3
428.94,30.98,34.4
428.83,30.97,38.8
428.62,33.34,42.2
428.43,33.17,33.8
428.43,42.73,37.3
428.68,43.36,33.8
428.76,19.75,21.8
428.56,7.3,16.2
428.58,31.09,17.9
428.55,35.49,43.7
428.41,28.96,36.6
428.4,34.14,40.5
428.51,32.4,27.4
428.58,27.99,27.5
428.64,29.62,28.5
428.65,17.11,20.3
428.62,32.64,28.7
428.75,27.93,21.7
428.74,24.27,27.3
428.65,18.11,25.6
428.52,24.85,25.9
428.49,27.58,26.8
428.59,21.42,12.3
428.74,17.73,7.1
428.69,8.52,18.3
428.67,18.79,18.6
428.65,23.89,26.6
428.56,28.03,27.5
428.53,27.94,31.4
428.53,23.17,19.2
428.59,26.68,24.9
428.42,28.01,35.4
428.42,28.78,24.7
428.44,27.78,25.2
428.42,28.18,27.4
428.46,25.1,22.4
428.54,18.66,15.6
428.47,28.99,32.4
428.35,28.63,29.7
428.31,27.09,31.0
428.28,26.82,28.5
428.23,28.07,30.1
428.19,26.26,29.8
428.14,30.19,28.0
428.07,24.75,34.3
428.0,24.75,26.6
427.95,26.21,21.2
427.94,25.35,27.0
428.07,31.96,23.5
428.27,27.77,21.4
428.35,31.53,28.8
428.34,22.37,29.3
428.35,23.29,25.6
428.35,31.74,22.2
428.45,31.71,30.2
428.41,30.41,35.2
428.31,30.2,33.5
428.27,25.19,26.1
428.22,28.01,28.6
428.16,29.3,30.5
428.15,32.31,31.9
428.07,31.82,35.8
427.97,32.12,35.5
427.87,30.94,35.4
427.97,24.57,17.2
428.08,29.83,29.0
427.97,31.22,34.2
427.9,33.54,32.3
427.94,33.07,32.0
427.91,32.21,34.0
427.87,29.47,33.3
427.79,25.71,30.9
427.63,31.78,36.7
427.53,29.85,32.6
427.44,30.05,34.7
427.4,26.66,25.6
427.54,24.66,22.7
427.63,27.55,23.3
427.76,23.92,24.2
427.88,29.73,22.4
428.07,28.8,23.8
428.07,26.47,28.7
428.09,27.57,24.3
428.01,27.67,35.1
427.85,32.55,36.6
427.78,22.22,26.1
427.88,26.11,24.7
427.73,23.93,28.8
427.69,28.26,32.9
427.7,28.96,24.0
427.82,25.66,28.6
427.78,25.96,24.3
427.83,23.86,22.7
427.84,26.29,24.8
427.88,13.31,14.3
427.83,16.81,18.8
427.72,16.73,23.0
427.68,13.77,17.7
427.6,7.02,9.1
427.56,13.77,16.9
427.75,26.72,21.2
427.74,30.91,29.1
427.81,29.36,26.1
427.92,34.11,26.4
428.0,30.56,29.0
428.2,23.04,13.4
428.33,12.57,7.0
428.41,15.7,15.9
428.29,29.34,32.7
428.17,27.49,33.4
428.16,28.64,26.2
428.12,28.78,30.6
428.01,21.24,28.4
427.94,12.3,11.6
427.84,14.33,18.3
427.87,25.42,25.2
427.87,23.89,26.4
427.96,27.6,26.0
427.89,24.86,29.4
427.81,10.48,18.2
427.61,1.59,12.6
427.51,17.69,15.9
427.59,24.4,22.7
427.66,26.88,24.5
427.86,21.1,11.3
427.96,11.57,6.3
427.88,2.25,16.6
427.56,3.79,19.6
427.46,29.8,25.9
427.55,29.57,27.6
427.63,27.74,17.2
427.95,28.19,17.9
428.18,28.34,23.7
428.07,25.22,30.9
428.0,16.15,17.0
428.1,29.07,23.6
427.18,32.04,26.2
428.29,34.06,26.3
428.48,29.77,19.9
428.67,23.3,23.2
428.44,12.16,17.9
428.28,2.14,15.7
427.91,22.62,31.9
427.88,29.79,30.6
428.0,30.72,21.9
428.09,12.67,16.4
427.95,15.77,14.0
427.98,14.75,13.8
428.0,4.2,6.9
428.02,13.13,12.2
428.39,24.54,11.9
428.42,1.82,8.6
428.32,4.41,16.7
428.39,22.37,20.2
428.29,13.46,28.6
427.97,7.59,21.2
428.01,26.71,22.0
427.85,27.53,39.8
427.89,38.15,31.0
428.11,39.64,33.6
428.14,30.85,34.1
428.26,32.06,20.9
428.48,19.76,8.1
428.5,15.21,24.2
428.43,38.19,32.8
428.63,37.8,29.4
428.69,12.79,13.4
428.6,5.74,17.9
428.54,17.02,9.6
428.54,2.96,8.0
428.38,6.28,14.7
428.29,6.98,7.0
428.22,1.91,5.3
428.1,1.72,6.9
427.92,1.61,12.0
427.63,1.63,7.8
427.43,8.01,11.6
427.54,19.7,11.2
427.49,18.88,20.7
427.46,19.0,17.1
427.47,15.34,14.9
427.36,15.18,20.2
427.35,12.87,9.3
427.34,7.26,5.0
427.47,22.31,11.3
427.68,31.7,27.4
427.73,28.07,24.2
427.79,12.66,15.0
427.61,4.86,12.1
427.6,10.46,10.2
427.45,5.25,4.5
427.33,4.11,10.9
427.45,20.65,11.7
427.62,19.09,6.9
427.82,12.21,4.0
427.72,1.9,8.8
427.53,1.88,7.4
427.38,1.64,4.0
427.23,5.18,11.4
427.33,21.32,12.2
427.5,15.1,9.6
427.63,14.38,8.8
427.33,10.34,8.9
427.58,1.61,4.0
427.72,7.42,4.0
427.76,2.87,4.0
427.72,2.42,4.0
427.65,1.88,4.9
427.56,4.72,4.4
427.76,16.12,4.9
428.0,13.16,4.0
427.92,1.56,8.5
427.71,4.73,11.5
427.89,27.45,15.1
428.13,28.21,28.3
428.26,22.3,12.8
428.39,16.98,13.5
428.36,13.8,15.5
428.21,9.85,11.2
428.07,3.95,12.9
428.2,27.44,16.8
428.36,24.73,17.6
428.55,25.98,19.2
428.39,26.87,33.6
428.3,15.38,18.9
427.91,5.3,12.1
427.77,5.15,11.9
427.71,12.57,5.8
427.76,10.29,5.2
427.67,2.56,4.4
427.58,2.18,4.0
427.47,1.88,4.0
427.35,1.7,4.0
427.23,4.32,4.0
427.42,18.94,10.4
427.56,13.72,4.8
427.69,11.3,5.8
427.6,2.05,5.6
427.49,4.8,10.4
427.65,19.77,4.1
427.7,6.91,9.3
427.83,18.23,10.2
427.96,15.94,11.7
428.02,15.23,12.4
428.08,17.12,13.8
428.13,18.74,18.9
428.29,28.17,24.5
428.39,39.44,43.4
428.46,31.78,35.2
428.4,22.78,36.6
428.36,19.06,19.8
428.21,4.36,18.0
428.03,38.0,36.3
428.46,40.09,30.9
428.56,41.64,38.9
428.54,42.9,46.2
428.57,38.98,38.4
428.57,39.96,38.9
428.72,37.14,47.1
428.51,44.49,40.5
428.69,33.4,36.1
428.72,38.32,37.5
428.73,35.81,34.6
428.83,41.18,33.5
428.83,31.46,36.6
428.67,32.73,36.2
428.53,37.42,42.9
428.2,27.27,38.3
428.32,35.78,33.2
428.45,42.33,35.4
428.68,53.59,38.5
428.77,60.61,47.7
428.89,47.29,40.1
428.96,40.16,38.4
428.95,39.26,36.9
428.94,35.78,35.2
428.94,41.79,37.9
428.94,48.68,41.0
428.95,44.91,37.4
428.97,43.69,44.4
428.95,37.3,36.8
428.95,39.38,37.9
428.94,46.95,44.0
428.95,46.99,41.0
428.94,51.5,47.5
428.99,76.49,66.1
428.99,79.67,78.0
428.99,80.16,78.0
428.99,80.71,78.0
428.99,80.89,78.0
428.99,80.49,78.0
428.99,80.11,78.0
428.99,81.28,78.0
428.99,79.93,78.0
428.99,79.24,78.0
428.99,236.9,229.7
428.99,136.94,128.0
428.99,80.32,78.0
428.99,78.56,78.0
428.99,82.82,78.0
428.99,80.99,78.0
428.98,80.87,78.0
428.99,202.13,201.0
428.99,158.9,145.1
428.98,83.34,78.0
428.99,190.02,183.9
428.99,235.82,235.2
428.99,197.45,196.9
428.98,132.09,128.0
428.99,79.64,75.8
428.99,80.12,78.0
428.99,78.54,77.3
428.99,78.37,77.7
428.99,78.64,78.0
428.99,79.18,78.0
428.99,78.67,78.0
428.99,78.76,78.0
428.99,92.2,93.0
429.08,199.99,124.3
429.0,238.29,274.7
428.98,235.9,232.6
428.98,79.51,78.0
428.99,127.63,126.8
429.11,145.08,130.5
429.01,100.27,108.0
428.99,109.81,108.0
428.99,109.36,108.0
428.99,109.24,108.0
428.99,108.86,108.0
428.99,88.53,89.3
428.99,79.08,78.0
428.99,79.26,78.0
428.99,77.49,78.0
428.99,78.97,78.0
428.99,76.23,78.0
428.99,78.12,78.0
428.99,78.45,78.0
428.99,136.39,134.3
428.98,343.55,340.9
428.98,402.95,401.3
428.98,319.78,317.6
428.97,208.92,208.0
428.98,77.83,78.0
428.98,78.34,78.0
428.98,77.58,78.0
428.98,78.99,78.0
428.98,78.62,77.3
428.98,79.05,78.0
428.98,79.21,78.0
428.98,78.12,76.4
428.98,78.08,77.3
428.98,77.93,73.5
428.98,78.55,78.0
428.98,78.8,78.0
428.98,78.24,78.0
428.99,78.55,78.0
428.98,78.06,78.0
428.99,89.49,88.4
428.99,128.96,128.0
428.96,88.82,78.0
428.98,80.25,78.0
429.0,68.74,67.2
428.79,29.89,45.8
428.39,23.95,29.4
428.73,28.8,15.3
428.96,21.6,22.8
428.97,54.93,52.0
428.99,59.7,51.3
429.0,63.42,57.7
429.0,62.74,59.5
429.0,62.46,58.9
429.0,63.33,56.4
429.0,60.54,56.8
429.0,61.15,60.0
429.0,61.83,60.0
428.92,48.55,56.2
428.74,38.47,38.4
428.9,33.92,25.6
428.87,34.15,39.2
428.8,30.84,35.1
428.71,37.48,42.1
428.61,32.78,37.7
428.56,31.62,33.4
428.45,31.37,37.4
428.51,30.28,27.1
428.65,31.61,27.7
428.73,26.98,24.5
428.76,31.79,34.7
428.62,30.38,39.0
428.58,28.63,28.7
428.56,31.65,35.1
428.52,31.09,30.7
428.53,30.38,30.2
428.54,26.13,28.5
428.49,32.11,37.8
428.31,34.46,40.3
428.24,32.59,32.9
428.44,32.96,25.3
428.63,25.06,20.7
428.58,26.06,23.1
428.47,27.06,12.0
428.46,5.92,6.3
428.4,9.82,11.8
428.55,8.54,6.3
428.61,8.88,6.3
428.74,4.82,7.0
429.58,5.61,20.9
428.4,24.38,27.7
428.2,29.51,37.8
427.96,34.64,42.2
427.88,32.16,31.1
428.0,32.37,33.3
427.94,32.15,36.0
427.89,32.1,31.4
428.15,29.56,21.7
428.27,32.14,30.0
428.28,31.56,31.7
428.21,32.44,38.2
428.2,31.67,34.9
428.19,32.42,31.4
428.23,33.14,31.6
428.38,29.4,13.5
428.67,31.36,28.7
428.68,29.93,31.4
428.59,29.71,33.9
428.54,30.83,30.0
428.58,33.07,30.1
428.57,28.77,33.6
428.39,26.34,31.9
428.44,30.96,31.5
428.2,33.22,44.2
428.17,33.06,33.7
428.09,29.54,33.7
428.1,29.97,27.6
427.97,31.89,37.0
427.98,21.09,18.4
428.15,31.48,25.4
428.23,29.37,29.3
428.27,33.18,29.0
428.33,32.46,30.8
428.36,29.45,30.1
428.19,31.72,39.4
428.2,29.65,28.5
428.23,31.83,33.7
428.08,31.97,38.9
428.1,31.76,29.8
428.14,32.42,30.2
428.15,32.34,32.8
428.15,31.98,32.1
428.2,29.35,23.6
428.34,33.42,30.6
428.17,33.36,34.4
428.29,32.72,32.4
428.19,31.82,32.5
428.3,33.7,33.0
428.21,33.69,37.9
428.19,30.85,30.1
428.26,33.94,34.4
428.14,33.44,37.3
428.12,32.97,35.8
428.09,60.5,48.5
428.41,47.92,50.4
428.37,33.64,35.5
428.57,28.01,21.6
428.46,38.7,50.1
428.2,35.82,39.2
428.3,34.82,30.8
428.27,35.59,36.9
428.39,28.45,26.3
428.25,32.17,34.9
428.18,29.52,26.2
428.4,32.06,27.1
428.28,33.69,38.9
428.18,34.16,39.3
428.21,38.49,34.9
428.33,40.31,41.2
428.24,34.12,41.4
428.41,27.57,19.9
428.58,31.74,27.7
428.6,28.07,29.8
428.42,30.11,36.2
428.25,31.45,35.6
428.18,32.45,34.3
428.1,32.39,38.2
